gene_id	SRR5874663	SRR5874664	SRR5874665	SRR5874666	SRR5874667	SRR5874668	SRR5874669	SRR5874670	SRR5874671	SRR5874672	SRR5874673	SRR5874674
ENSG00000290825	3	4	7	2	2	0	3	1	5	2	4	1
ENSG00000223972	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000310526	156	233	148	113	146	142	777	214	266	309	351	517
ENSG00000227232	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278267	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243485	16	24	7	15	17	7	71	34	37	33	38	48
ENSG00000284332	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	16	16	13	9	5	0	4	0	1	1	0	1
ENSG00000308361	31	67	11	8	12	9	0	0	1	0	0	0
ENSG00000290826	0	1	0	0	1	2	0	0	0	0	0	1
ENSG00000268020	1	3	0	1	0	0	4	0	1	1	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241860	69	155	87	132	173	86	154	92	119	112	100	172
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000308314	0	0	0	0	1	0	2	0	0	0	1	0
ENSG00000233750	1	20	20	11	15	10	19	18	16	22	16	33
ENSG00000308579	38	249	135	158	155	142	226	91	101	104	108	120
ENSG00000268903	1	1	3	0	3	1	1	0	2	1	0	0
ENSG00000269981	53	372	309	229	275	276	295	215	184	201	170	225
ENSG00000239906	8	21	3	21	13	5	6	0	2	5	3	5
ENSG00000310528	6	5	17	6	16	5	18	12	17	12	7	35
ENSG00000222623	0	0	0	0	0	0	0	0	3	2	0	1
ENSG00000241599	1	8	2	5	4	0	0	8	5	1	2	4
ENSG00000308415	2	7	3	0	2	5	6	2	4	3	6	9
ENSG00000310527	261	337	249	201	249	242	886	373	436	439	581	704
ENSG00000279928	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279457	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273874	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000308625	5	0	8	0	1	1	0	5	3	0	2	1
ENSG00000308544	3	0	5	0	1	0	14	3	8	6	15	29
ENSG00000292994	13	25	5	16	18	16	64	27	102	79	100	114
ENSG00000228463	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000306775	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286448	0	0	0	0	0	1	0	0	8	5	5	2
ENSG00000236679	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236601	2	4	7	0	1	0	0	0	10	8	1	2
ENSG00000290385	178	460	265	309	422	277	471	334	306	263	320	438
ENSG00000269732	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0	0	0	1	0	0	0
