gene_id	SRR6497346	SRR6497347	SRR6497348	SRR6497349	SRR6497350	SRR6497351	SRR6497352	SRR6497353	SRR6497354
ENSMUSG00000102693	0	0	0	0	0	0	0	0	0
ENSMUSG00000064842	0	0	0	0	0	0	0	0	0
ENSMUSG00000051951	73	42	28	39	40	26	29	36	26
ENSMUSG00000102851	0	0	0	0	0	0	0	0	0
ENSMUSG00000103377	0	0	0	0	0	0	0	0	0
ENSMUSG00000104017	0	0	0	0	0	0	0	0	0
ENSMUSG00000103025	0	0	0	0	0	0	0	1	0
ENSMUSG00000089699	0	0	0	0	0	0	0	0	0
ENSMUSG00000103201	0	0	0	0	0	0	0	0	0
ENSMUSG00000103147	4	3	3	4	11	6	2	7	3
ENSMUSG00000103161	0	0	0	0	0	0	0	0	0
ENSMUSG00000102331	2	2	0	0	0	0	0	0	1
ENSMUSG00000102348	0	0	0	0	0	0	0	0	0
ENSMUSG00000102592	0	0	0	0	0	0	0	0	0
ENSMUSG00000088333	0	0	0	0	0	0	0	0	0
ENSMUSG00000142494	0	0	0	0	0	0	0	0	0
ENSMUSG00000102343	0	0	0	0	0	0	0	0	0
ENSMUSG00000133908	0	0	0	0	0	0	0	0	0
ENSMUSG00000025900	1	3	2	4	2	6	1	2	2
ENSMUSG00000102948	0	1	1	0	0	1	2	0	1
ENSMUSG00000104123	0	0	0	0	0	0	0	0	0
ENSMUSG00000135717	0	0	0	0	0	0	0	0	0
ENSMUSG00000139157	0	0	0	0	0	0	0	0	0
ENSMUSG00000025902	0	0	0	0	0	0	1	0	0
ENSMUSG00000104238	0	0	0	0	0	0	0	0	0
ENSMUSG00000102269	15	12	15	15	21	11	10	10	15
ENSMUSG00000118917	0	0	0	0	0	0	0	2	0
ENSMUSG00000103003	0	0	0	0	0	0	0	0	0
ENSMUSG00000104328	0	0	0	0	0	0	0	0	0
ENSMUSG00000131850	0	0	0	0	0	0	0	0	0
ENSMUSG00000102735	0	0	0	0	0	0	0	0	0
ENSMUSG00000098104	69	48	63	49	51	52	57	51	65
ENSMUSG00000102175	11	8	8	9	4	1	4	4	5
ENSMUSG00000135930	0	0	0	0	0	0	0	0	0
ENSMUSG00002075947	0	0	0	0	0	0	0	0	0
ENSMUSG00000103265	0	0	0	0	0	0	0	0	0
ENSMUSG00000103922	329	356	277	297	362	379	300	283	318
ENSMUSG00000033845	943	925	902	847	852	1023	912	773	932
ENSMUSG00000102275	13	5	9	3	8	7	8	3	4
ENSMUSG00000120403	3	1	0	1	1	1	0	1	0
ENSMUSG00000136002	0	0	0	0	0	0	0	0	0
ENSMUSG00000025903	1095	970	793	975	1020	848	970	902	866
ENSMUSG00000104217	1	0	0	0	0	0	0	1	0
