gene_id	SRR6497330	SRR6497331	SRR6497332	SRR6497333	SRR6497334	SRR6497335	SRR6497337	SRR6497339	SRR6497341	SRR6497342
ENSMUSG00000102693	0	0	0	0	0	0	1	2	0	0
ENSMUSG00000064842	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051951	884	1360	927	1043	988	911	1842	1657	1043	789
ENSMUSG00000102851	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103377	2	0	1	0	2	1	1	1	0	0
ENSMUSG00000104017	3	0	2	0	0	0	0	4	1	0
ENSMUSG00000103025	2	1	1	0	0	0	1	0	1	0
ENSMUSG00000089699	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103201	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000103147	3	6	2	7	8	2	7	6	0	2
ENSMUSG00000103161	3	2	2	1	2	3	1	1	1	0
ENSMUSG00000102331	52	79	31	48	25	9	47	20	13	31
ENSMUSG00000102348	9	8	3	2	10	5	10	5	5	5
ENSMUSG00000102592	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088333	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000142494	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102343	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000133908	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025900	1	6	5	5	5	3	8	3	2	1
ENSMUSG00000102948	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000104123	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000135717	0	1	1	0	0	0	0	1	1	1
ENSMUSG00000139157	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000025902	188	242	100	129	129	99	147	213	112	140
ENSMUSG00000104238	0	1	0	0	0	2	1	2	0	0
ENSMUSG00000102269	11	23	7	19	11	8	15	24	9	6
ENSMUSG00000118917	0	0	0	0	0	0	2	2	0	0
ENSMUSG00000103003	2	0	0	0	0	0	0	1	0	0
ENSMUSG00000104328	6	1	0	2	1	3	8	7	2	5
ENSMUSG00000131850	1	0	0	0	2	0	0	1	0	1
ENSMUSG00000102735	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098104	166	254	133	143	104	82	215	188	91	91
ENSMUSG00000102175	8	9	5	6	4	4	6	3	3	7
ENSMUSG00000135930	1	5	0	2	1	0	1	1	0	0
ENSMUSG00002075947	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103265	0	0	1	1	0	0	0	0	0	0
ENSMUSG00000103922	739	1075	593	760	569	443	1025	777	494	537
ENSMUSG00000033845	749	932	454	643	549	406	677	692	512	507
ENSMUSG00000102275	12	19	16	13	19	8	20	12	15	16
ENSMUSG00000120403	11	23	7	9	9	6	10	10	5	5
ENSMUSG00000136002	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025903	754	1037	635	713	615	471	873	771	539	546
ENSMUSG00000104217	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000137875	1	2	2	7	5	4	3	7	5	6
ENSMUSG00000033813	1283	1839	938	1121	1024	636	1404	1227	818	823
ENSMUSG00000062588	169	230	136	168	118	97	182	164	79	69
ENSMUSG00000103280	45	65	42	52	22	23	67	41	29	28
ENSMUSG00000002459	537	795	384	550	406	321	558	583	360	330
ENSMUSG00000091305	2	6	4	2	6	1	7	5	7	2
ENSMUSG00000102653	0	1	3	2	0	2	2	4	0	1
ENSMUSG00000085623	1	2	1	0	2	2	2	2	0	2
ENSMUSG00000091665	0	0	0	1	0	2	0	1	0	1
ENSMUSG00000033793	4567	7049	3531	4542	3871	2641	5314	4771	3307	3031
ENSMUSG00000143188	3	15	13	4	10	7	7	6	8	4
ENSMUSG00000104352	1	3	0	0	2	0	2	4	0	0
ENSMUSG00000143351	0	5	0	1	0	0	0	4	0	0
ENSMUSG00000104046	3	0	1	0	1	3	2	0	0	0
ENSMUSG00000102907	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000025905	37	64	28	51	34	36	82	36	30	22
ENSMUSG00000103936	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076544	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103519	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033774	79	88	59	79	81	58	125	89	70	45
ENSMUSG00000103090	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000090031	205	222	157	158	146	126	203	176	155	137
ENSMUSG00000025907	2832	3939	2411	2772	2392	1694	3579	3136	1975	1891
ENSMUSG00000087247	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000143943	3	3	2	2	6	0	7	2	4	2
ENSMUSG00000103355	44	38	11	29	24	20	28	36	20	13
ENSMUSG00000102706	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000141243	4	6	0	8	3	1	4	3	1	9
ENSMUSG00000103845	163	216	135	139	128	89	273	170	123	90
ENSMUSG00000033740	1162	1511	858	1013	962	650	1593	1056	843	838
ENSMUSG00000103329	52	56	51	34	26	32	65	50	31	46
ENSMUSG00000104385	0	1	0	1	0	0	0	0	0	0
ENSMUSG00000102135	125	151	113	140	119	79	61	132	130	113
ENSMUSG00000103282	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102534	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102213	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000120372	1	5	3	2	1	4	2	2	0	1
ENSMUSG00000051285	4268	5585	3162	3770	3315	2254	4838	4028	2507	2552
