gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000025409	1356.8583101574895	0.7961611121533612	0.08138211550246648	9.782998478691939	1.3320462834168968e-22	3.459857016547048e-18
ENSMUSG00000075031	124.36360481318701	-1.009797636098176	0.10637846531389077	-9.492500508618617	2.2555751534890707e-21	2.929315451836256e-17
ENSMUSG00000114279	98.54735011391591	-0.9586277936616789	0.11147001928303443	-8.599871066924456	7.980570487967183e-18	6.909577928481987e-14
ENSMUSG00000044349	943.2234699048879	0.5060601247814864	0.06494786752867106	7.791789692834604	6.606663374914804e-15	4.290036862500928e-11
ENSMUSG00000021268	4802.400218868771	0.6327710809629614	0.08196985955654916	7.719557949546405	1.1673383929428995e-14	6.064089483659774e-11
ENSMUSG00000046750	33.808139375002796	0.9079335526982997	0.11989705682072366	7.572609176352755	3.6580155895436295e-14	1.5835549487134371e-10
ENSMUSG00000047246	174.99659181055486	-0.8583333507551055	0.11754603353968508	-7.3021039069372	2.833023416390516e-13	1.0512135745332466e-9
ENSMUSG00000069268	105.68164303462362	-0.8260655789854726	0.11355921158369707	-7.274315905025755	3.4818033617853836e-13	1.1304545064876695e-9
ENSMUSG00000014195	716.6468426514475	0.3295294953818341	0.04619468213573693	7.133494163106384	9.785246091563877e-13	2.824022022025335e-9
ENSMUSG00000069303	159.17738675159546	-0.8217408948886329	0.11558648516641916	-7.109316402393467	1.1661912030337857e-12	3.0272299691536703e-9
ENSMUSG00000062727	187.05164103251008	-0.7733872117844082	0.10898560090363464	-7.096232946114039	1.2820331739697532e-12	3.0272299691536703e-9
ENSMUSG00000061702	170.59652657063117	0.5833364511519423	0.08450279763271525	6.903161404044494	5.085778830838396e-12	1.1008168279349708e-8
ENSMUSG00000069307	124.30511888679214	-0.8934741326743701	0.13093093185444815	-6.8240111027974475	8.853303516735558e-12	1.7688900426437644e-8
ENSMUSG00000032244	1297.4948095746845	-0.4260562954910846	0.06312115989008162	-6.749817275744197	1.4803146418055547e-11	2.7464066075898197e-8
ENSMUSG00000029998	1044.1295565417001	-0.35912002293878337	0.05331280526902929	-6.736093160481371	1.6270199118931238e-11	2.817347679434133e-8
ENSMUSG00000032458	1205.214685837235	-0.2392975033974874	0.035811179928469564	-6.682201029831135	2.3537982407642818e-11	3.821097219100716e-8
ENSMUSG00000017485	2624.026806215595	-0.34579611161401724	0.052177375058476624	-6.627319048274736	3.418382766964761e-11	5.222886705243689e-8
ENSMUSG00000027737	1119.3912957948085	-1.1108145139918684	0.1689796517548586	-6.573658440267969	4.909377950524793e-11	7.084232382607276e-8
ENSMUSG00000008206	376.4634884115174	0.2578515776863399	0.03932751091495791	6.556519130944237	5.50782565642958e-11	7.5294875579001e-8
ENSMUSG00000062846	264.6254549570319	-0.2986477667581926	0.04568037918144015	-6.537768996443283	6.244327015793745e-11	7.895596391807985e-8
ENSMUSG00000094338	106.85683316974483	-0.7639592449539924	0.11691222956291025	-6.5344681887441665	6.383596066372823e-11	7.895596391807985e-8
ENSMUSG00000038525	367.7491997965569	-0.34120870668423914	0.05255075920280053	-6.49293581787217	8.417955843746937e-11	9.938544776612863e-8
ENSMUSG00000043881	258.8467579812356	-0.405223984507136	0.06315296517587246	-6.416547241742997	1.3939970592676213e-10	1.5742469398877043e-7
ENSMUSG00000046441	93.69405810061508	-0.6878230866142678	0.10795467629576556	-6.371406132790629	1.8730291536337095e-10	1.9884526584107242e-7
ENSMUSG00000114547	3541.2796102376665	-0.37434571970298564	0.05878455706955054	-6.368096288623577	1.9138875976079196e-10	1.9884526584107242e-7
ENSMUSG00000026944	2030.855257217823	0.25583971743541556	0.040443481003823493	6.3258579896035325	2.518293392201529e-10	2.5157750988093274e-7
ENSMUSG00000032412	1325.662083232195	-0.35388549991440854	0.056035344710774176	-6.315397928592832	2.6946719412672714e-10	2.592274407499115e-7
ENSMUSG00000050900	118.10448456511057	-0.4915175800241313	0.07809051865714425	-6.294203041244161	3.0898317199064314e-10	2.8662603247446304e-7
ENSMUSG00000097156	2174.5872631212087	0.41964817410203226	0.06709766456331745	6.2542888315587595	3.9933137478907187e-10	3.5766321133694324e-7
ENSMUSG00000106885	19.88663660496981	-0.9474520694353105	0.15314887708724054	-6.186477416322151	6.152349378789676e-10	5.154874927893002e-7
ENSMUSG00000114456	89.84673202757645	-0.7621415844534439	0.12316443668855348	-6.1880004077855295	6.093217098577459e-10	5.154874927893002e-7
ENSMUSG00000034024	2362.3472728919955	-0.29085157026476105	0.04706056012543361	-6.180367796080948	6.395243235008886e-10	5.165167158135465e-7
ENSMUSG00000091697	106.92830521630108	-0.7100471524302314	0.11496329207594265	-6.176294533747235	6.562351436762545e-10	5.165167158135465e-7
ENSMUSG00000095217	146.7535053946418	-0.7474825673265402	0.12150647978748882	-6.151791810888314	7.661240480328562e-10	5.852737065766297e-7
ENSMUSG00000048574	127.90397414244158	-0.6986130839740285	0.11403486717514762	-6.126311200073744	8.99398142361118e-10	6.674562099910765e-7
ENSMUSG00000019777	1381.9624524282233	-0.34419386082789466	0.05632600116718512	-6.110745547269882	9.916677035982556e-10	7.154882481461414e-7
ENSMUSG00000086436	156.98290566478371	-0.524246972840866	0.08610333231070938	-6.088579370529903	1.1391697545642871e-9	7.786525053961261e-7
ENSMUSG00000022957	1695.287098655307	0.3815539825460602	0.06264824849906407	6.09041739693266	1.1261667991734063e-9	7.786525053961261e-7
ENSMUSG00000003031	1471.96708124855	-0.331103732615338	0.05446200997935855	-6.079535675250113	1.2053106408070934e-9	8.027368867775242e-7
ENSMUSG00000048997	456.86114579761727	0.37570012125850105	0.06187434529791965	6.0719853995955395	1.2633842197758043e-9	8.203785431114185e-7
ENSMUSG00000057421	297.7456385127629	0.36787587417513884	0.060849919599031965	6.045626298263691	1.4883070746641176e-9	9.428606818859949e-7
ENSMUSG00000056947	866.3619719335089	-0.2891676766324627	0.04786511605726436	-6.041303154608699	1.52874435067387e-9	9.454191848667404e-7
ENSMUSG00000027472	363.2352239595325	0.42379545111257355	0.07025532907742225	6.032217864150144	1.6172453926654678e-9	9.483144050426513e-7
ENSMUSG00000043300	200.49116098134746	-0.560244590521877	0.09296943322957238	-6.026116015340733	1.6794664907970262e-9	9.483144050426513e-7
ENSMUSG00000043131	420.3651434016044	-0.5946614842929204	0.09866563298847295	-6.027037645036893	1.6699211818690756e-9	9.483144050426513e-7
ENSMUSG00000083892	128.00267602249968	-0.6185950408859692	0.10246887870387704	-6.036906509669495	1.5709667640648677e-9	9.483144050426513e-7
ENSMUSG00000020572	453.8602819778982	-0.6079466558944663	0.10104204969759675	-6.0167688374687245	1.779328852170517e-9	9.833252682186598e-7
ENSMUSG00000015880	266.07295332579895	-0.5685040780615656	0.0945892823860886	-6.010237774519541	1.8525142326201027e-9	1.002441764126553e-6
ENSMUSG00000054408	396.4214999520469	-0.4860619810327326	0.08101103584854906	-5.999947734792952	1.9738105042189834e-9	1.0462806946241607e-6
ENSMUSG00000082284	131.7260031335161	-0.7299562211041817	0.12216966024636942	-5.974938619229516	2.3017683145095055e-9	1.195722604021398e-6
ENSMUSG00000040701	111.44812561091067	0.5481183086170904	0.09183521158205	5.968498348015185	2.394470700880763e-9	1.2194898428368028e-6
ENSMUSG00000041617	160.48592308265057	0.363807159934994	0.06111371549191483	5.9529543737710515	2.6334473303834984e-9	1.3154069415265574e-6
ENSMUSG00000066878	223.03054564951432	-0.9532974803021709	0.16042709746086312	-5.942247259910265	2.8114091984992723e-9	1.3778026890909454e-6
ENSMUSG00000041712	629.1108538961741	-0.32051187828074407	0.05399313313152429	-5.93616002057141	2.9177503279380457e-9	1.3854882823242793e-6
ENSMUSG00000022033	375.61356804254297	-0.5418127908860313	0.09131362620364171	-5.933537122682169	2.9647692576845683e-9	1.3854882823242793e-6
ENSMUSG00000022800	642.597491152512	-0.5962181479468109	0.10050362822497291	-5.932304718514271	2.9871157238068703e-9	1.3854882823242793e-6
