GSE	GSM	SRX	SRR	Dataset
GSE101942	GSM2719212	SRX3041703	SRR5874663	1
GSE101942	GSM2719213	SRX3041704	SRR5874664	1
GSE101942	GSM2719214	SRX3041705	SRR5874665	1
GSE101942	GSM2719215	SRX3041706	SRR5874666	1
GSE101942	GSM2719216	SRX3041707	SRR5874667	1
GSE101942	GSM2719217	SRX3041708	SRR5874668	1
GSE101942	GSM2719218	SRX3041709	SRR5874669	1
GSE101942	GSM2719219	SRX3041710	SRR5874670	1
GSE101942	GSM2719220	SRX3041711	SRR5874671	1
GSE101942	GSM2719221	SRX3041712	SRR5874672	1
GSE101942	GSM2719222	SRX3041713	SRR5874673	1
GSE101942	GSM2719223	SRX3041714	SRR5874674	1
GSE109293	GSM2936644	SRX3586395	SRR6497346	1
GSE109293	GSM2936645	SRX3586396	SRR6497347	1
GSE109293	GSM2936646	SRX3586397	SRR6497348	1
GSE109293	GSM2936647	SRX3586398	SRR6497349	1
GSE109293	GSM2936648	SRX3586399	SRR6497350	1
GSE109293	GSM2936649	SRX3586400	SRR6497351	1
GSE109293	GSM2936650	SRX3586402	SRR6497352	1
GSE109293	GSM2936651	SRX3586404	SRR6497353	1
GSE109293	GSM2936652	SRX3586405	SRR6497354	1
GSE109294	GSM2936653	SRX3586382	SRR6497330	1
GSE109294	GSM2936654	SRX3586383	SRR6497331	1
GSE109294	GSM2936655	SRX3586384	SRR6497332	1
GSE109294	GSM2936656	SRX3586385	SRR6497333	1
GSE109294	GSM2936657	SRX3586386	SRR6497334	1
GSE109294	GSM2936658	SRX3586387	SRR6497335	1
GSE109294	GSM2936659	SRX3586388	SRR6497337	1
GSE109294	GSM2936660	SRX3586389	SRR6497339	1
GSE109294	GSM2936661	SRX3586390	SRR6497341	1
GSE109294	GSM2936662	SRX3586391	SRR6497342	1
GSE184771	GSM5597263	SRX12347084	SRR16060501	1
GSE184771	GSM5597264	SRX12347085	SRR16060502	1
GSE184771	GSM5597265	SRX12347086	SRR16060503	1
GSE184771	GSM5597266	SRX12347087	SRR16060504	1
GSE184771	GSM5597267	SRX12347088	SRR16060505	1
GSE184771	GSM5597268	SRX12347089	SRR16060506	1
GSE184771	GSM5597269	SRX12347090	SRR16060507	1
GSE184771	GSM5597270	SRX12347091	SRR16060508	1
GSE190053	GSM5712645	SRX13289153	SRR17101515	1
GSE190053	GSM5712646	SRX13289154	SRR17101516	1
GSE190053	GSM5712647	SRX13289155	SRR17101517	1
GSE190053	GSM5712648	SRX13289156	SRR17101518	1
GSE190053	GSM5712649	SRX13289157	SRR17101519	1
GSE190053	GSM5712650	SRX13289158	SRR17101520	1
GSE190053	GSM5712651	SRX13289159	SRR17101521	1
GSE190053	GSM5712652	SRX13289160	SRR17101522	1
GSE190053	GSM5712653	SRX13289161	SRR17101523	1
GSE190053	GSM5712654	SRX13289162	SRR17101524	1
GSE190053	GSM5712655	SRX13289163	SRR17101525	1
GSE190053	GSM5712656	SRX13289164	SRR17101526	1
GSE190053	GSM5712657	SRX13289165	SRR17101527	1
GSE190053	GSM5712658	SRX13289166	SRR17101528	1
GSE190053	GSM5712659	SRX13289167	SRR17101529	1
GSE190053	GSM5712660	SRX13289168	SRR17101530	1
GSE190053	GSM5712661	SRX13289169	SRR17101531	1
GSE190053	GSM5712662	SRX13289170	SRR17101532	1
GSE202938	GSM6138717	SRX15264675	SRR19199909	1
GSE202938	GSM6138717	SRX15264675	SRR19199910	1
GSE202938	GSM6138718	SRX15264674	SRR19199911	1
GSE202938	GSM6138718	SRX15264674	SRR19199912	1
GSE202938	GSM6138719	SRX15264676	SRR19199907	1
GSE202938	GSM6138719	SRX15264676	SRR19199908	1
GSE202938	GSM6138720	SRX15264677	SRR19199903	1
GSE202938	GSM6138720	SRX15264677	SRR19199904	1
GSE202938	GSM6138721	SRX15264678	SRR19199901	1
GSE202938	GSM6138721	SRX15264678	SRR19199902	1
GSE202938	GSM6138722	SRX15264679	SRR19199899	1
GSE202938	GSM6138722	SRX15264679	SRR19199900	1
GSE202938	GSM6138723	SRX15264680	SRR19199905	2
GSE202938	GSM6138723	SRX15264680	SRR19199906	2
GSE202938	GSM6138724	SRX15264681	SRR19199897	2
