chr	start	end	strand	region_type	Geneid	gene_name	gene_type	hgnc_id	mouse_ortholog	data_contact	date	script
chr21	12999676	46691226	*	MAC HSA21q	NA	NA	NA	NA	NA	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	14893880	15914720	*	deletion	NA	NA	NA	NA	NA	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	17843345	23995878	*	deletion	NA	NA	NA	NA	NA	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	26848509	28420310	*	deletion	NA	NA	NA	NA	NA	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	45393043	46254350	*	deletion	NA	NA	NA	NA	NA	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	12999676	13016692	-	Gene|triplicated	ENSG00000229306.1	AP001464.1	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13038160	13067033	+	Gene|triplicated	ENSG00000224309.7	ANKRD30BP2	transcribed_unprocessed_pseudogene	HGNC:16620	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13047583	13047689	+	Gene|triplicated	ENSG00000207097.1	RNU6-614P	snRNA	HGNC:47577	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13095305	13113790	-	Gene|triplicated	ENSG00000168122.4	ZNF355P	unprocessed_pseudogene	HGNC:17218	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13120244	13120807	+	Gene|triplicated	ENSG00000237202.1	AJ239321.1	processed_pseudogene	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13305152	13314944	+	Gene|triplicated	ENSG00000280108.2	AJ239318.1	lncRNA	NA	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13349265	13350648	+	Gene|triplicated	ENSG00000185390.2	FGF7P2	unprocessed_pseudogene	HGNC:17193	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13384249	13427773	-	Gene|triplicated	ENSG00000175302.5	ANKRD30BP1	unprocessed_pseudogene	HGNC:19722	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13406384	13406460	-	Gene|triplicated	ENSG00000266211.1	MIR3156-3	miRNA	HGNC:38229	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13443373	13489176	-	Gene|triplicated	ENSG00000226930.1	GTF2IP2	unprocessed_pseudogene	HGNC:16082	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13476371	13477263	+	Gene|triplicated	ENSG00000219280.1	VN1R8P	processed_pseudogene	HGNC:8497	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
chr21	13516107	13574999	+	Gene|triplicated	ENSG00000228159.2	LINC01674	lncRNA	HGNC:52462	FALSE	Zenitha Sundararajan	040726	MouseModel_GeneMapping_v0.6_ZS_
